eddie.cho,cho-eddie,eddiechou828,,0
alicia.farrell,alicia-farrell,leashal,,0
alex.siambis,alex-siambis,alexsiambis,,1
clinton.kabler,clinton-kabler,clintonk,,1
floppy.pucheta,floppy-pucheta,Floppy_Pucheta,floppy-pucheta,1
marcy.hall,hall-marcy,MarcyDH,,1
vytenis.skarnulis,skarnulis-vytenis,Vyteniska,,0
indranil.nandi,indranil-nandi,Indranil_Nandi,indranil-nandi,1
ralph.sc,ralph-sc,ralfwu,,0
mariomiranda.es,es-mariomiranda,mirandafilms,,0
riccih,,Ricci_Hodgson,hodgson-ricci,1
rami.abuarja,abuarja-rami,ramiabuarja,,1
chen.levkovich,chen-levkovich,chenlev,,1
jennifer.longshore,jennifer-longshore,escapadesofjen,,0
adriana.carvalho.35,adriana-carvalho,Adriana_SC,adriana-sc,0
daniel.stertz.5,daniel-stertz,DanielStertz,,1
bill.h,bill-h,Bill_H,bill-h,1
marmee.cosico,cosico-marmee,marmeecosico,,1
erika.c.maldonado,c-erika-maldonado,ErikaCMaldonado,,1
jonas.middendorf,jonas-middendorf,bughunter85,,0
radek.sadowski,radek-sadowski,rrr_sadowski,rrr-sadowski,1
fayard.fabien,fabien-fayard,ffayard,,1
david.h.paul,david-h-paul,davidhpaul,,1
arin.sinabian,arin-sinabian,sinabian,,0.5
derry.sun.7,derry-sun,sunderry,,1
danieliamarino,,Dan_Iamarino,dan-iamarino,0
conan.soranno,conan-soranno,addictedimage,,0
clint.bahr,bahr-clint,ClintBahr,,1
matty.stevenson,matty-stevenson,mattystevenson,,1
ben.nuk,ben-nuk,bennuk,,1
bunda.arlina,arlina-bunda,bundaichabella,,1
eeryn.lubicich,eeryn-lubicich,TampaEFL,,0
scott.territo,scott-territo,il_pirata,il-pirata,0
andrew.drake,andrew-drake,nevrar,,0
kartolo.lo,kartolo-lo,lokartolo,,1
jeff.vannest,jeff-vannest,jefflv,,1
ebrahim.khodaei,ebrahim-khodaei,ebrahimkhodaei,,1
amanda.hinault,amanda-hinault,kh_i,i-kh,0
ma.alizadeh,alizadeh-ma,02SyntaxError,,0
samu.geza,geza-samu,samugeza,,1
oliver.krick,krick-oliver,KrickstR,,0
nucleareclipse,,nuclear_eclipse,eclipse-nuclear,1
